name,address,category,phone,opening_hours,review_score,materials,is_key_store,nearest_station,lat,lon,distance_km
미림아트,서울특별시 종로구 인사동길 11-1,전통 미술/동양화 전문,02-730-8025,월~토 10:00~19:00,4.5,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;다니엘스미스 수채화 과슈;올드홀랜드 유화;레오나르데스카 롤 캔버스;프레드릭스 롤 캔버스;쉬민케 호라담,True,안국역,37.5718358,126.9866397,1.7781609351156664
호미화방,서울특별시 마포구 홍익로3길 20,대형 종합/디자인 특화,02-336-8187,매일 10:00~20:00,4.8,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;캔버스 정식 F;캔버스 정식 P;종이 판넬;빈 판넬 F;빈 판넬 P;실드 에어라 캔버스 F;실드 에어라 캔버스 P;플로팅 캔버스;패드북 260g;뮤즈 썬플라워;로얄보드 백색 2합;무아트 아교포수 종이;글로리아 스케치북;파브리아노 드로잉 스케치북;시쿠자 두꺼운;드로잉 오일;겔솔;터펜노이드 오드리스;왁스 미디엄;R&F 드로잉 오일 세트;EOEO 3625 브러쉬;컴벨린 PVA size;화홍 붓 132;화홍 붓 83;바바라 네일 301;루벤즈 벡붓 83;뻬또르또 160;라뮤라 Raffine LR;라팔엘 867;아트시크릿 2060 실리콘 스퀴지;나무라 Flap;장지 2합;장지 3합;신한 전문가 한국화 물감;유리아교;동방 우메 분채;아트시크릿 민화 붓 세트;울마트 민화물감;리놀륨판;조각칼 세트;화홍 판화 롤러;스피드볼 드로잉 플루이드;화홍 미니조각도;스피드볼 FLEX 잉크;실크사;울트라 잉크;스피드볼 판화 벤치;비아르크 SCENTED 삼나무 연필;프리즈마 색연필;파버카스텔 전문가용 색연필;비아르크 ArtGraf 수성 흑연;비아르크 Ova 스프링 연필보호캡;시드 지우개;비아르크 ArtGraf 수성 흑연 막대;문교 오일파스텔;시넬리에 오일파스텔;시넬리에 유화파스텔전용액;까렌다쉬 네오 칼라;호미 목탄;세넬리에 라지 오일파스텔;델리타 만화 잉크;COLOR MASTER 라이너;델리타 만화용지;윈저앤뉴튼 드로잉 잉크;스피드볼 펜촉;아교주크 만년필용 수성 잉크;애니메이션 작화지;MTN PRO 일반페인트;몬타나 94 스프레이;몬타나 WB 수성 스프레이;몬타나 HC 하드코어;몬타나 노즐;동성 락카 스프레이;타미야 에나멜/도색용 락카;MTN PRO 밤반사 페인트;MTN PRO 메탈릭 페인트;이젤;아크릴;조소/도예;마카,True,홍대입구역,37.5535049,126.9216864,7.763477522283886
미림화방,서울특별시 용산구 한강대로 166,드로잉/스케치 특화,02-790-0902,월~금 10:00~19:00,4.2,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;화홍 700R 수채붓;르프랑 유화;리퀴텍스 아크릴,True,신용산역,37.5334786,126.9723992,6.015536133799232
나라아트화방,서울특별시 노원구 공릉로51길 14-2,학용/일반 문구 종합,02-979-3733,월~토 10:00~19:00,3.9,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구,True,석계역,37.6287253,127.0759414,8.317942868160442
홍익화방,경기도 안양시 동안구 경수대로 699,드로잉/스케치 특화,031-382-7117,월~토 09:00~20:00,4.3,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;홀베인 에칭프레스;디오라마 재료;Midwest 바스우드 판재;모형재료;발사;포맥스,False,,37.391657,126.9448694,21.782043503566516
알파문구 본점,서울특별시 중구 퇴계로 179,대형 종합/디자인 특화,02-752-0096,일요일 10:00~18:30; 월~금 09:00~19:00; 토 10:00~18:30,4.1,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;제도용품;사무용품,False,회현역,37.5564716,126.9740509,3.776374115421138
남대문화방,서울특별시 중구 남대문로 84-1,전통 미술/동양화 전문,02-753-7175,월~금 09:00~20:00; 토 10:00~18:30; 일요일 휴무,4.0,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;동양화 채색 접시;미젤로 포수물감;서예용품;표구,False,회현역,37.5620071,126.9819568,2.8582588747887026
한가람문구,서울특별시 서초구 남부순환로 2406,학용/일반 문구 종합,02-535-6238,매일 10:00~21:00,4.6,캔버스;유화 재료;아크릴 재료;수채화 재료;동양화 재료;드로잉/스케치;붓/나이프;보조제/베이스;디자인 용품;기타 화구/도구;SWC 수채화물감;신한 트윈마카;프리즈마 색연필 150색,False,고속터미널역,37.4797475,127.0133947,11.440682917495817




